2013011219,Overcast
2013011220,Overcast
2013011221,Overcast
2013011222,Overcast
2013011223,Overcast
2013011300,Overcast
2013011301,Overcast
2013011302,Overcast
2013011303,Fog
2013011304,Overcast
2013011305,Overcast
2013011306,Overcast
2013011307,Overcast
2013011308,Overcast
2013011309,Overcast
2013011310,Overcast
2013011311,Overcast
2013011312,Haze
2013011313,Overcast
2013011314,Overcast
2013011315,Overcast
2013011316,Overcast
2013011317,Overcast
2013011318,Overcast
2013011319,Overcast
2013011320,Overcast
2013011321,Overcast
2013011322,Overcast
2013011323,Overcast
2013011400,Overcast
2013011401,Overcast
2013011402,Overcast
2013011403,Overcast
2013011404,Overcast
2013011405,Overcast
2013011406,Haze
2013011407,Haze
2013011408,Overcast
2013011409,Haze
2013011410,Clear
2013011411,Overcast
2013011412,Overcast
2013011413,Unknown
2013011414,Overcast
2013011415,Overcast
2013011416,Overcast
2013011417,Overcast
2013011418,Overcast
2013011419,Overcast
2013011420,Overcast
2013011421,Overcast
2013011422,Light Rain
2013011423,Overcast
2013011500,Overcast
2013011501,Light Rain
2013011502,Light Rain
2013011503,Overcast
2013011504,Overcast
2013011505,Overcast
2013011506,Overcast
2013011507,Overcast
2013011508,Overcast
2013011509,Overcast
2013011510,Overcast
2013011511,Overcast
2013011512,Overcast
2013011513,Overcast
2013011514,Overcast
2013011515,Overcast
2013011516,Overcast
2013011517,Overcast
2013011518,Overcast
2013011519,Overcast
2013011520,Overcast
2013011521,Overcast
2013011522,Overcast
2013011523,Overcast
2013011600,Light Rain
2013011601,Light Rain
2013011602,Overcast
2013011603,Rain
2013011604,Overcast
2013011605,Overcast
2013011606,Light Rain
2013011607,Overcast
2013011608,Light Rain
2013011609,Overcast
2013011610,Overcast
2013011611,Overcast
2013011612,Overcast
2013011613,Overcast
2013011614,Overcast
2013011615,Overcast
2013011616,Overcast
2013011617,Overcast
2013011618,Overcast
2013011619,Overcast
2013011620,Overcast
2013011621,Scattered Clouds
2013011622,Clear
2013011623,Clear
2013011700,Clear
2013011701,Clear
2013011702,Clear
2013011703,Scattered Clouds
2013011704,Scattered Clouds
2013011705,Overcast
2013011706,Clear
2013011707,Clear
2013011708,Clear
2013011709,Clear
2013011710,Clear
2013011711,Partly Cloudy
2013011712,Mostly Cloudy
2013011713,Clear
2013011714,Clear
2013011715,Clear
2013011716,Clear
2013011717,Mostly Cloudy
2013011718,Overcast
2013011719,Overcast
2013011720,Mostly Cloudy
2013011721,Overcast
2013011722,Clear
2013011723,Overcast
2013011800,Overcast
2013011801,Overcast
2013011802,Overcast
2013011803,Overcast
2013011804,Mostly Cloudy
2013011805,Overcast
2013011806,Overcast
2013011807,Overcast
2013011808,Partly Cloudy
2013011809,Mostly Cloudy
2013011810,Mostly Cloudy
2013011811,Scattered Clouds
2013011812,Partly Cloudy
2013011813,Clear
2013011814,Clear
2013011815,Clear
2013011816,Clear
2013011817,Clear
2013011818,Clear
2013011819,Clear
2013011820,Clear
2013011821,Clear
2013011822,Clear
2013011823,Clear
2013011900,Clear
2013011901,Clear
2013011902,Clear
2013011903,Clear
2013011904,Clear
2013011905,Overcast
2013011906,Clear
