
TimeEST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC<br />
12:01 AM,43.0,42.1,97,30.17,2.0,NE,4.6,-,N/A,,Overcast,50,2013-01-13 05:01:00<br />
12:13 AM,43.0,42.1,97,30.17,1.5,ENE,3.5,-,N/A,,Overcast,70,2013-01-13 05:13:00<br />
12:51 AM,44.1,43.0,96,30.14,1.8,Calm,Calm,-,N/A,,Overcast,0,2013-01-13 05:51:00<br />
1:12 AM,44.1,43.0,96,30.16,2.0,Calm,Calm,-,N/A,,Overcast,0,2013-01-13 06:12:00<br />
1:51 AM,44.1,42.1,93,30.14,2.5,Variable,3.5,-,N/A,,Overcast,0,2013-01-13 06:51:00<br />
2:06 AM,44.1,43.0,96,30.17,2.5,East,3.5,-,N/A,,Overcast,80,2013-01-13 07:06:00<br />
2:28 AM,43.0,42.1,97,30.16,1.8,ENE,4.6,-,N/A,,Overcast,60,2013-01-13 07:28:00<br />
2:51 AM,43.0,42.1,97,30.14,1.5,Calm,Calm,-,N/A,,Overcast,0,2013-01-13 07:51:00<br />
3:38 AM,44.1,43.0,96,30.15,0.5,SSE,3.5,-,N/A,Fog,Fog,160,2013-01-13 08:38:00<br />
4:26 AM,45.0,44.1,97,30.14,1.2,Calm,Calm,-,N/A,,Overcast,0,2013-01-13 09:26:00<br />
4:48 AM,45.0,44.1,97,30.12,2.0,Calm,Calm,-,N/A,,Overcast,0,2013-01-13 09:48:00<br />
5:09 AM,45.0,44.1,97,30.14,3.0,Calm,Calm,-,N/A,,Overcast,0,2013-01-13 10:09:00<br />
5:34 AM,45.0,44.1,97,30.13,2.5,Calm,Calm,-,N/A,,Overcast,0,2013-01-13 10:34:00<br />
5:51 AM,45.0,44.1,97,30.11,2.5,Calm,Calm,-,N/A,,Overcast,0,2013-01-13 10:51:00<br />
6:38 AM,45.0,44.1,97,30.14,3.0,SSE,5.8,-,N/A,,Overcast,160,2013-01-13 11:38:00<br />
6:51 AM,45.0,44.1,97,30.12,3.0,Calm,Calm,-,N/A,,Overcast,0,2013-01-13 11:51:00<br />
7:20 AM,45.0,43.0,93,30.14,2.5,South,4.6,-,N/A,,Overcast,170,2013-01-13 12:20:00<br />
7:40 AM,44.1,43.0,96,30.15,1.2,SSE,3.5,-,N/A,,Overcast,150,2013-01-13 12:40:00<br />
7:51 AM,44.1,43.0,96,30.13,1.8,SSE,4.6,-,N/A,,Overcast,150,2013-01-13 12:51:00<br />
8:31 AM,43.0,42.1,97,30.16,1.8,Variable,3.5,-,N/A,,Overcast,0,2013-01-13 13:31:00<br />
8:51 AM,44.1,43.0,96,30.15,1.2,South,3.5,-,N/A,,Overcast,180,2013-01-13 13:51:00<br />
9:37 AM,44.1,43.0,96,30.17,2.5,SSE,6.9,-,N/A,,Overcast,160,2013-01-13 14:37:00<br />
9:51 AM,44.1,43.0,96,30.15,2.5,South,5.8,-,N/A,,Overcast,180,2013-01-13 14:51:00<br />
9:58 AM,44.1,43.0,96,30.17,3.0,South,9.2,-,N/A,,Overcast,180,2013-01-13 14:58:00<br />
10:51 AM,45.0,43.0,93,30.15,4.0,South,5.8,-,N/A,,Overcast,180,2013-01-13 15:51:00<br />
11:37 AM,46.9,44.1,90,30.15,5.0,Variable,3.5,-,N/A,,Overcast,0,2013-01-13 16:37:00<br />
11:51 AM,46.9,44.1,90,30.12,5.0,SSE,5.8,-,N/A,,Overcast,150,2013-01-13 16:51:00<br />
12:26 PM,48.9,44.1,83,30.13,6.0,Calm,Calm,-,N/A,,Haze,0,2013-01-13 17:26:00<br />
12:34 PM,48.9,44.1,83,30.12,7.0,SSE,3.5,-,N/A,,Overcast,150,2013-01-13 17:34:00<br />
12:51 PM,48.0,44.1,86,30.10,7.0,Calm,Calm,-,N/A,,Overcast,0,2013-01-13 17:51:00<br />
