
TimeEST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC<br />
12:51 AM,28.9,10.0,45,30.48,10.0,Calm,Calm,-,N/A,,Clear,0,2013-01-28 05:51:00<br />
1:51 AM,30.0,10.0,43,30.48,10.0,Calm,Calm,-,N/A,,Clear,0,2013-01-28 06:51:00<br />
2:51 AM,30.0,10.0,43,30.45,10.0,Calm,Calm,-,N/A,,Clear,0,2013-01-28 07:51:00<br />
3:51 AM,30.9,12.9,47,30.44,10.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2013-01-28 08:51:00<br />
4:51 AM,30.9,12.9,47,30.42,10.0,Calm,Calm,-,N/A,,Overcast,0,2013-01-28 09:51:00<br />
5:51 AM,32.0,12.0,44,30.41,10.0,WSW,6.9,-,N/A,,Overcast,250,2013-01-28 10:51:00<br />
6:51 AM,30.9,15.1,52,30.41,10.0,Variable,5.8,-,N/A,,Overcast,0,2013-01-28 11:51:00<br />
7:51 AM,32.0,17.1,54,30.40,9.0,WSW,8.1,-,N/A,,Overcast,240,2013-01-28 12:51:00<br />
8:51 AM,33.1,19.0,56,30.39,8.0,Variable,4.6,-,N/A,,Overcast,0,2013-01-28 13:51:00<br />
9:23 AM,30.9,23.0,72,30.41,0.8,SW,10.4,-,0.00,Snow,Light Snow,230,2013-01-28 14:23:00<br />
9:51 AM,30.9,26.1,82,30.38,0.5,North,-9999.0,-,0.01,Snow,Snow,0,2013-01-28 14:51:00<br />
10:51 AM,32.0,28.0,85,30.33,2.0,Variable,5.8,-,0.01,Snow,Light Snow,0,2013-01-28 15:51:00<br />
11:51 AM,33.1,28.0,82,30.29,4.0,SSW,6.9,-,0.00,,Haze,210,2013-01-28 16:51:00<br />
12:24 PM,32.0,28.9,88,30.27,2.5,South,8.1,-,0.01,,Overcast,180,2013-01-28 17:24:00<br />
12:51 PM,33.1,28.9,85,30.22,2.5,Variable,5.8,-,0.03,Rain,Light Rain,0,2013-01-28 17:51:00<br />
12:59 PM,33.1,28.9,85,30.23,3.0,Variable,6.9,18.4,0.00,,Overcast,0,2013-01-28 17:59:00<br />
1:51 PM,33.1,28.9,85,30.17,3.0,South,4.6,-,0.00,,Overcast,180,2013-01-28 18:51:00<br />
2:09 PM,33.1,28.9,85,30.18,2.5,South,4.6,-,0.01,,Overcast,190,2013-01-28 19:09:00<br />
2:51 PM,33.1,30.9,92,30.13,1.8,Calm,Calm,-,0.02,,Overcast,0,2013-01-28 19:51:00<br />
3:40 PM,34.0,30.0,85,30.13,2.0,WSW,9.2,-,0.06,Rain,Light Rain,240,2013-01-28 20:40:00<br />
3:51 PM,34.0,30.0,85,30.10,3.0,WSW,10.4,20.7,0.07,Rain,Light Rain,250,2013-01-28 20:51:00<br />
4:05 PM,34.0,30.0,85,30.11,2.5,Variable,4.6,19.6,0.02,Rain,Rain,0,2013-01-28 21:05:00<br />
4:47 PM,33.8,30.2,87,30.10,4.0,WSW,5.8,-,0.05,,Overcast,250,2013-01-28 21:47:00<br />
4:51 PM,33.1,30.9,92,30.08,4.0,WSW,9.2,-,0.05,,Overcast,240,2013-01-28 21:51:00<br />
5:51 PM,34.0,30.9,89,30.06,5.0,West,5.8,-,0.00,,Overcast,260,2013-01-28 22:51:00<br />
6:51 PM,34.0,32.0,92,30.06,4.0,North,-9999.0,-,0.01,Rain,Light Rain,0,2013-01-28 23:51:00<br />
7:25 PM,34.0,32.0,92,30.08,4.0,North,-9999.0,-,0.01,Rain,Light Rain,0,2013-01-29 00:25:00<br />
7:51 PM,34.0,32.0,92,30.05,5.0,West,5.8,-,0.02,,Overcast,270,2013-01-29 00:51:00<br />
8:11 PM,34.0,32.0,92,30.06,4.0,Variable,5.8,-,0.00,,Overcast,0,2013-01-29 01:11:00<br />
8:51 PM,34.0,32.0,92,30.04,5.0,North,-9999.0,-,0.00,,Overcast,0,2013-01-29 01:51:00<br />
9:51 PM,35.1,32.0,89,30.01,5.0,West,9.2,16.1,N/A,,Overcast,260,2013-01-29 02:51:00<br />
10:38 PM,35.1,32.0,89,30.03,5.0,Variable,3.5,-,N/A,,Overcast,0,2013-01-29 03:38:00<br />
10:51 PM,35.1,32.0,89,30.01,5.0,North,-9999.0,-,N/A,,Overcast,0,2013-01-29 03:51:00<br />
11:29 PM,35.1,33.1,92,30.03,4.0,Calm,Calm,-,N/A,,Overcast,0,2013-01-29 04:29:00<br />
11:43 PM,35.1,32.0,89,30.03,5.0,Calm,Calm,-,N/A,,Overcast,0,2013-01-29 04:43:00<br />
11:51 PM,36.0,32.0,86,30.01,5.0,Variable,6.9,-,N/A,,Overcast,0,2013-01-29 04:51:00<br />
