
TimeEDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC<br />
12:51 AM,66.9,55.9,68,29.74,10.0,Variable,3.5,-,N/A,,Partly Cloudy,0,2013-05-16 04:51:00<br />
1:51 AM,66.0,55.0,68,29.74,10.0,Calm,Calm,-,N/A,,Clear,0,2013-05-16 05:51:00<br />
2:51 AM,64.9,55.9,73,29.74,9.0,West,4.6,-,N/A,,Clear,280,2013-05-16 06:51:00<br />
3:51 AM,63.0,55.0,75,29.74,9.0,Calm,Calm,-,N/A,,Clear,0,2013-05-16 07:51:00<br />
4:51 AM,64.0,54.0,70,29.73,9.0,WNW,3.5,-,N/A,,Clear,290,2013-05-16 08:51:00<br />
5:51 AM,63.0,48.9,60,29.74,10.0,Calm,Calm,-,N/A,,Clear,0,2013-05-16 09:51:00<br />
6:51 AM,64.0,48.9,58,29.76,10.0,Calm,Calm,-,N/A,,Clear,0,2013-05-16 10:51:00<br />
7:51 AM,64.9,48.0,54,29.78,10.0,NW,3.5,-,N/A,,Clear,310,2013-05-16 11:51:00<br />
8:51 AM,66.0,46.0,48,29.80,10.0,WNW,3.5,-,N/A,,Clear,290,2013-05-16 12:51:00<br />
9:51 AM,66.9,46.0,47,29.81,10.0,Variable,3.5,-,N/A,,Partly Cloudy,0,2013-05-16 13:51:00<br />
10:51 AM,70.0,46.0,42,29.81,10.0,West,5.8,-,N/A,,Partly Cloudy,260,2013-05-16 14:51:00<br />
11:51 AM,73.9,46.9,38,29.79,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2013-05-16 15:51:00<br />
12:51 PM,73.9,48.0,40,29.78,10.0,Variable,4.6,-,N/A,,Clear,0,2013-05-16 16:51:00<br />
1:51 PM,77.0,48.0,36,29.76,10.0,Variable,4.6,-,N/A,,Clear,0,2013-05-16 17:51:00<br />
2:51 PM,78.1,46.9,33,29.75,10.0,Variable,5.8,-,N/A,,Clear,0,2013-05-16 18:51:00<br />
3:51 PM,78.1,48.0,35,29.74,10.0,SW,11.5,23.0,N/A,,Clear,230,2013-05-16 19:51:00<br />
4:51 PM,75.9,51.1,42,29.73,10.0,North,-9999.0,-,N/A,,Clear,0,2013-05-16 20:51:00<br />
5:51 PM,75.0,52.0,44,29.72,10.0,Variable,6.9,-,N/A,,Clear,0,2013-05-16 21:51:00<br />
6:51 PM,73.0,51.1,46,29.73,10.0,Variable,4.6,-,N/A,,Clear,0,2013-05-16 22:51:00<br />
7:51 PM,72.0,48.9,44,29.75,10.0,Variable,3.5,-,N/A,,Scattered Clouds,0,2013-05-16 23:51:00<br />
8:51 PM,70.0,51.1,51,29.77,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2013-05-17 00:51:00<br />
9:51 PM,69.1,51.1,53,29.80,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2013-05-17 01:51:00<br />
10:51 PM,71.1,46.0,41,29.81,10.0,Variable,5.8,-,N/A,,Clear,0,2013-05-17 02:51:00<br />
11:51 PM,71.1,41.0,34,29.83,10.0,NW,4.6,-,N/A,,Clear,320,2013-05-17 03:51:00<br />
