
TimeEDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC<br />
12:51 AM,59.0,50.0,72,30.20,10.0,Variable,5.8,-,N/A,,Clear,0,2013-09-19 04:51:00<br />
1:51 AM,57.9,48.9,72,30.20,10.0,West,4.6,-,N/A,,Clear,260,2013-09-19 05:51:00<br />
2:51 AM,57.0,46.9,69,30.19,10.0,WSW,3.5,-,N/A,,Clear,250,2013-09-19 06:51:00<br />
3:51 AM,57.0,46.9,69,30.17,10.0,West,3.5,-,N/A,,Clear,260,2013-09-19 07:51:00<br />
4:51 AM,57.0,46.9,69,30.18,10.0,North,-9999.0,-,N/A,,Clear,0,2013-09-19 08:51:00<br />
5:51 AM,55.9,46.9,72,30.18,10.0,West,3.5,-,N/A,,Clear,270,2013-09-19 09:51:00<br />
6:51 AM,55.0,45.0,69,30.18,10.0,West,4.6,-,N/A,,Clear,280,2013-09-19 10:51:00<br />
7:51 AM,57.0,45.0,64,30.18,10.0,Calm,Calm,-,N/A,,Clear,0,2013-09-19 11:51:00<br />
8:51 AM,60.1,44.1,55,30.18,10.0,West,4.6,-,N/A,,Clear,260,2013-09-19 12:51:00<br />
9:51 AM,63.0,45.0,52,30.18,10.0,Calm,Calm,-,N/A,,Clear,0,2013-09-19 13:51:00<br />
10:51 AM,66.9,46.0,47,30.17,10.0,Calm,Calm,-,N/A,,Clear,0,2013-09-19 14:51:00<br />
11:51 AM,72.0,45.0,38,30.16,10.0,West,5.8,-,N/A,,Clear,270,2013-09-19 15:51:00<br />
12:51 PM,73.9,45.0,35,30.14,10.0,Variable,3.5,-,N/A,,Clear,0,2013-09-19 16:51:00<br />
1:51 PM,77.0,46.9,34,30.12,10.0,Calm,Calm,-,N/A,,Clear,0,2013-09-19 17:51:00<br />
2:51 PM,77.0,45.0,32,30.10,10.0,Variable,4.6,-,N/A,,Clear,0,2013-09-19 18:51:00<br />
3:51 PM,75.9,44.1,32,30.09,10.0,Calm,Calm,-,N/A,,Clear,0,2013-09-19 19:51:00<br />
4:51 PM,73.9,48.0,40,30.08,10.0,Calm,Calm,-,N/A,,Clear,0,2013-09-19 20:51:00<br />
5:51 PM,71.1,50.0,47,30.08,10.0,Variable,5.8,-,N/A,,Clear,0,2013-09-19 21:51:00<br />
6:51 PM,68.0,52.0,56,30.09,10.0,South,5.8,-,N/A,,Clear,180,2013-09-19 22:51:00<br />
7:51 PM,66.0,51.1,59,30.10,10.0,Variable,3.5,-,N/A,,Clear,0,2013-09-19 23:51:00<br />
8:51 PM,64.9,53.1,65,30.11,10.0,Calm,Calm,-,N/A,,Clear,0,2013-09-20 00:51:00<br />
9:51 PM,64.9,54.0,68,30.10,9.0,Calm,Calm,-,N/A,,Clear,0,2013-09-20 01:51:00<br />
10:51 PM,64.9,54.0,68,30.09,10.0,Calm,Calm,-,N/A,,Clear,0,2013-09-20 02:51:00<br />
11:51 PM,64.0,53.1,67,30.09,10.0,Calm,Calm,-,N/A,,Clear,0,2013-09-20 03:51:00<br />
