
TimeEDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC<br />
12:51 AM,79.0,62.1,56,30.02,10.0,Variable,6.9,-,N/A,,Clear,0,2013-06-01 04:51:00<br />
1:51 AM,77.0,64.0,64,30.01,10.0,WSW,4.6,-,N/A,,Clear,240,2013-06-01 05:51:00<br />
2:51 AM,75.9,64.9,69,30.00,10.0,North,-9999.0,-,N/A,,Clear,0,2013-06-01 06:51:00<br />
3:51 AM,75.9,64.9,69,30.00,10.0,Variable,4.6,-,N/A,,Clear,0,2013-06-01 07:51:00<br />
4:51 AM,73.9,64.9,73,30.01,10.0,Calm,Calm,-,N/A,,Clear,0,2013-06-01 08:51:00<br />
5:51 AM,73.9,64.9,73,30.00,9.0,WSW,5.8,-,N/A,,Clear,240,2013-06-01 09:51:00<br />
6:51 AM,73.9,64.9,73,30.01,9.0,Variable,3.5,-,N/A,,Clear,0,2013-06-01 10:51:00<br />
7:51 AM,73.9,64.9,73,30.02,9.0,North,-9999.0,-,N/A,,Clear,0,2013-06-01 11:51:00<br />
8:51 AM,77.0,64.9,66,30.02,9.0,Calm,Calm,-,N/A,,Clear,0,2013-06-01 12:51:00<br />
9:51 AM,79.0,66.0,64,30.00,10.0,Calm,Calm,-,N/A,,Clear,0,2013-06-01 13:51:00<br />
10:51 AM,82.9,66.9,58,29.99,10.0,Variable,4.6,-,N/A,,Clear,0,2013-06-01 14:51:00<br />
11:51 AM,84.9,66.0,53,29.99,10.0,WSW,6.9,-,N/A,,Clear,240,2013-06-01 15:51:00<br />
12:51 PM,88.0,68.0,51,29.97,10.0,Variable,4.6,-,N/A,,Clear,0,2013-06-01 16:51:00<br />
1:51 PM,88.0,66.9,49,29.95,10.0,Variable,6.9,-,N/A,,Clear,0,2013-06-01 17:51:00<br />
2:51 PM,88.0,66.0,48,29.94,10.0,North,-9999.0,-,N/A,,Clear,0,2013-06-01 18:51:00<br />
4:51 PM,88.0,64.9,46,29.91,10.0,Variable,4.6,-,N/A,,Clear,0,2013-06-01 20:51:00<br />
5:51 PM,86.0,63.0,46,29.90,10.0,Variable,4.6,-,N/A,,Clear,0,2013-06-01 21:51:00<br />
6:51 PM,84.0,64.0,51,29.90,10.0,Calm,Calm,-,N/A,,Clear,0,2013-06-01 22:51:00<br />
7:51 PM,82.0,64.0,54,29.91,10.0,Variable,5.8,-,N/A,,Clear,0,2013-06-01 23:51:00<br />
8:51 PM,82.0,66.0,58,29.91,10.0,Variable,3.5,-,N/A,,Clear,0,2013-06-02 00:51:00<br />
9:51 PM,81.0,66.0,60,29.92,10.0,Variable,3.5,-,N/A,,Clear,0,2013-06-02 01:51:00<br />
10:51 PM,79.0,66.9,66,29.92,10.0,Calm,Calm,-,N/A,,Clear,0,2013-06-02 02:51:00<br />
11:51 PM,78.1,66.9,68,29.92,10.0,Variable,3.5,-,N/A,,Clear,0,2013-06-02 03:51:00<br />
